url,source_name,publication_date,rating,n_vereditos,chaves_canonicas,rotulos,misto,rotulo_consolidado,excluido_do_banco_de_estimulos,motivo_da_exclusao
https://projetocomprova.com.br/publica%C3%A7%C3%B5es/video-dissemina-informacoes-falsas-para-afirmar-que-a-pandemia-e-um-plano-de-controle-populacional/,COMPROVA,2020-09-03,['Falso'],1,falso,falso,False,falso,False,
https://projetocomprova.com.br/publica%C3%A7%C3%B5es/lei-assinada-por-bolsonaro-em-fevereiro-preve-vacinacao-compulsoria-diferentemente-do-que-ele-afirmou/,COMPROVA,2020-09-03,['Enganoso'],1,enganoso,verdadeiro fora de contexto ou exagerado,False,verdadeiro fora de contexto ou exagerado,False,
https://projetocomprova.com.br/publica%C3%A7%C3%B5es/estudo-belga-nao-comprova-eficacia-do-tratamento-precoce-da-hidroxicloroquina-para-covid-19-diferentemente-do-que-afirma-deputado/,COMPROVA,2020-09-02,['Enganoso'],1,enganoso,verdadeiro fora de contexto ou exagerado,False,verdadeiro fora de contexto ou exagerado,False,
https://projetocomprova.com.br/publica%C3%A7%C3%B5es/artigo-nao-prova-impossibilidade-de-transmissao-da-covid-19-por-assintomaticos/,COMPROVA,2020-11-30,['Enganoso'],1,enganoso,verdadeiro fora de contexto ou exagerado,False,verdadeiro fora de contexto ou exagerado,False,
https://projetocomprova.com.br/publica%C3%A7%C3%B5es/tratamento-precoce-com-hidroxicloroquina-nao-evitou-mortes-em-porto-feliz/,COMPROVA,2020-11-27,['Falso'],1,falso,falso,False,falso,False,
https://projetocomprova.com.br/publica%C3%A7%C3%B5es/e-enganoso-que-laudo-do-iml-descarte-suicidio-de-voluntario-da-coronavac/,COMPROVA,2020-11-18,['Enganoso'],1,enganoso,verdadeiro fora de contexto ou exagerado,False,verdadeiro fora de contexto ou exagerado,False,
https://projetocomprova.com.br/publica%C3%A7%C3%B5es/coronavac-nao-matou-voluntario-nem-doria-anunciou-aplicacao-da-vacina-em-novembro/,COMPROVA,2020-11-16,['Falso'],1,falso,falso,False,falso,False,
https://projetocomprova.com.br/publica%C3%A7%C3%B5es/morte-de-voluntario-nao-esta-relacionada-a-alteracoes-neurologicas-causadas-por-vacina/,COMPROVA,2020-11-13,['Enganoso'],1,enganoso,verdadeiro fora de contexto ou exagerado,False,verdadeiro fora de contexto ou exagerado,False,
https://projetocomprova.com.br/publica%C3%A7%C3%B5es/e-enganosa-postagem-que-sugere-que-instituto-butantan-nao-informou-morte-de-voluntario-da-vacina-coronavac/,COMPROVA,2020-11-13,['Enganoso'],1,enganoso,verdadeiro fora de contexto ou exagerado,False,verdadeiro fora de contexto ou exagerado,False,
https://projetocomprova.com.br/publica%C3%A7%C3%B5es/ataque-hacker-ao-stj-nao-e-sinal-de-ameaca-a-seguranca-das-urnas/,COMPROVA,2020-11-13,['Enganoso'],1,enganoso,verdadeiro fora de contexto ou exagerado,False,verdadeiro fora de contexto ou exagerado,False,
https://projetocomprova.com.br/publica%C3%A7%C3%B5es/medico-morreu-de-covid-19-e-nao-por-efeitos-adversos-da-vacina-de-oxford/,COMPROVA,2020-11-11,['Falso'],1,falso,falso,False,falso,False,
https://projetocomprova.com.br/publica%C3%A7%C3%B5es/coronavac-nao-matou-voluntarios-e-vacinas-nao-causaram-danos-neurologicos-ou-de-dna/,COMPROVA,2020-11-09,['Falso'],1,falso,falso,False,falso,False,
https://projetocomprova.com.br/publica%C3%A7%C3%B5es/medicos-nao-provaram-que-uma-vacina-precisa-de-10-anos-de-pesquisa-para-ser-segura/,COMPROVA,2020-11-06,['Falso'],1,falso,falso,False,falso,False,
https://projetocomprova.com.br/publica%C3%A7%C3%B5es/nao-ha-tratamento-previo-para-covid-19-ao-contrario-do-que-sugere-medica-no-instagram/,COMPROVA,2020-11-06,['Falso'],1,falso,falso,False,falso,False,
https://projetocomprova.com.br/publica%C3%A7%C3%B5es/estudo-recomenda-o-uso-de-mascara-contra-a-covid-19-ao-contrario-do-que-sugere-deputada/,COMPROVA,2020-11-06,['Enganoso'],1,enganoso,verdadeiro fora de contexto ou exagerado,False,verdadeiro fora de contexto ou exagerado,False,
https://projetocomprova.com.br/publica%C3%A7%C3%B5es/informacoes-sobre-ivermectina-divulgadas-por-silas-malafaia-sao-enganosas/,COMPROVA,2020-12-28,['Enganoso'],1,enganoso,verdadeiro fora de contexto ou exagerado,False,verdadeiro fora de contexto ou exagerado,False,
https://projetocomprova.com.br/publica%C3%A7%C3%B5es/mensagem-tira-de-contexto-dados-sobre-sintomas-adversos-da-vacina-pfizer/,COMPROVA,2020-12-28,['Enganoso'],1,enganoso,verdadeiro fora de contexto ou exagerado,False,verdadeiro fora de contexto ou exagerado,False,
https://projetocomprova.com.br/publica%C3%A7%C3%B5es/e-falso-que-vacina-australiana-tenha-infectado-pessoas-com-hiv-voluntarios-tiveram-falso-positivo/,COMPROVA,2020-12-23,['Falso'],1,falso,falso,False,falso,False,
https://projetocomprova.com.br/publica%C3%A7%C3%B5es/video-de-medicos-estrangeiros-e-coletanea-de-informacoes-falsas-sobre-a-pandemia/,COMPROVA,2020-12-23,['Enganoso'],1,enganoso,verdadeiro fora de contexto ou exagerado,False,verdadeiro fora de contexto ou exagerado,False,
https://projetocomprova.com.br/publica%C3%A7%C3%B5es/video-do-pastor-silas-malafaia-engana-sobre-eficacia-da-ivermectina-contra-covid-19-na-africa/,COMPROVA,2020-12-22,['Enganoso'],1,enganoso,verdadeiro fora de contexto ou exagerado,False,verdadeiro fora de contexto ou exagerado,False,
https://projetocomprova.com.br/publica%C3%A7%C3%B5es/medico-e-empresarios-enganam-ao-desqualificar-medidas-protetivas-e-culpar-china-pela-pandemia/,COMPROVA,2020-12-22,['Enganoso'],1,enganoso,verdadeiro fora de contexto ou exagerado,False,verdadeiro fora de contexto ou exagerado,False,
https://projetocomprova.com.br/publica%C3%A7%C3%B5es/nao-ha-conhecimento-suficiente-sobre-imunidade-para-deixar-de-vacinar-quem-ja-teve-covid-19/,COMPROVA,2020-12-21,['Enganoso'],1,enganoso,verdadeiro fora de contexto ou exagerado,False,verdadeiro fora de contexto ou exagerado,False,
https://projetocomprova.com.br/publica%C3%A7%C3%B5es/e-falso-que-china-nao-usara-suas-proprias-vacinas/,COMPROVA,2020-12-18,['Falso'],1,falso,falso,False,falso,False,
https://projetocomprova.com.br/publica%C3%A7%C3%B5es/nao-ha-comprovacao-de-que-vacina-da-pfizer-tenha-causado-paralisia-de-bell-em-voluntarios/,COMPROVA,2020-12-17,['Enganoso'],1,enganoso,verdadeiro fora de contexto ou exagerado,False,verdadeiro fora de contexto ou exagerado,False,
https://projetocomprova.com.br/publica%C3%A7%C3%B5es/vacinas-para-covid-19-nao-sao-capazes-de-provocar-danos-geneticos/,COMPROVA,2020-12-16,['Falso'],1,falso,falso,False,falso,False,
